"","node","mean","median","sd","n","CI_upper","CI_lower"
"1","416",3.34284597117467,3.345761,0.250112778783539,18005,3.34649935574134,3.33919258660801
"2","417",3.35175242832547,3.340915,0.150326296914832,18005,3.35394823685546,3.34955661979547
"3","418",3.33779374979172,3.330438,0.141986307328193,18005,3.3398677365204,3.33571976306304
"4","419",3.330101815218,3.330209,0.151232578162389,18005,3.33231086175181,3.32789276868418
"5","420",3.37624306881422,3.365803,0.139787114484809,18005,3.37828493204552,3.37420120558291
"6","421",3.36799535512358,3.372612,0.137845289143419,18005,3.37000885421144,3.36598185603571
"7","422",3.41059406153846,3.408494,0.121033689991917,18005,3.41236199445742,3.40882612861951
"8","423",3.41402262660372,3.412999,0.118881171837572,18005,3.4157591178001,3.41228613540735
"9","424",3.4376562064982,3.437187,0.102832101893625,18005,3.43915826975079,3.4361541432456
"10","425",3.43289313390725,3.434805,0.0941324784119212,18005,3.43426812220463,3.43151814560987
"11","426",3.41963945326298,3.418498,0.0912841107419628,18005,3.4209728355995,3.41830607092647
"12","427",3.40937192496529,3.412265,0.0985404026269881,18005,3.41081129958621,3.40793255034436
"13","428",3.40610617484032,3.409078,0.104845682828584,18005,3.40763765036664,3.404574699314
"14","429",3.41093441966121,3.413957,0.083891147136757,18005,3.41215981335648,3.40970902596593
"15","430",3.41339494856984,3.414238,0.086409264299059,18005,3.41465712427371,3.41213277286598
"16","431",3.41161189019717,3.410607,0.0852726221778092,18005,3.41285746302771,3.41036631736663
"17","432",3.40635050236046,3.405594,0.0809525005089766,18005,3.40753297139475,3.40516803332616
"18","433",3.45435501627326,3.454863,0.049533238305194,18005,3.4550785457516,3.45363148679491
"19","434",3.447561512802,3.447668,0.0458926583597823,18005,3.4482318645153,3.4468911610887
"20","435",3.44973410191613,3.450315,0.0344821863156466,18005,3.45023778144792,3.44923042238435
"21","436",3.45230168492086,3.452291,0.0288385742580032,18005,3.45272292849998,3.45188044134173
"22","437",3.4513870801444,3.451018,0.0282956660064697,18005,3.45180039349047,3.45097376679834
"23","438",3.44252782821438,3.444331,0.00974312401789416,18005,3.44267014552856,3.44238551090021
"24","439",3.45071366775896,3.45007,0.0104801680529648,18005,3.45086675103766,3.45056058448026
"25","440",3.45102388069981,3.451405,0.0098126741440636,18005,3.45116721392912,3.45088054747049
"26","441",3.45172706409331,3.451938,0.00958996318662381,18005,3.45186714419506,3.45158698399156
"27","442",3.4542331836712,3.454034,0.00938347278870714,18005,3.45437024757827,3.45409611976413
"28","443",3.45711963576784,3.456805,0.00934308757369643,18005,3.45725610977014,3.45698316176554
"29","444",3.46398380222161,3.463024,0.00859215362669435,18005,3.46410930737015,3.46385829707306
"30","445",3.46372027531241,3.46349,0.00806289539686282,18005,3.46383804961307,3.46360250101176
"31","446",3.46332723771175,3.4634,0.00821754193862317,18005,3.46344727092652,3.46320720449697
"32","447",3.46930372024438,3.469125,0.00915400663671344,18005,3.4694374323511,3.46917000813765
"33","448",3.47001649197445,3.470334,0.00971212203005654,18005,3.47015835644418,3.46987462750472
"34","449",3.47627481210775,3.47584,0.0085404973781113,18005,3.47639956271611,3.47615006149938
"35","450",3.47824574484865,3.478757,0.00773844841857873,18005,3.47835877996889,3.47813270972842
"36","451",3.47834320127742,3.478756,0.0077229580348875,18005,3.47845601013042,3.47823039242443
"37","452",3.4784726959178,3.479225,0.00771792520693847,18005,3.47858543125653,3.47835996057907
"38","453",3.4753124672591,3.475165,0.00884992627830395,18005,3.47544173767958,3.47518319683861
"39","454",3.46612870552624,3.466319,0.0125645450993891,18005,3.46631223519385,3.46594517585864
"40","455",3.4741928939739,3.473873,0.0107195521971285,18005,3.47434947392455,3.47403631402325
"41","456",3.47011902166065,3.470051,0.0170544641105085,18005,3.47036813534559,3.46986990797571
"42","457",3.47331983243543,3.473029,0.0114591194637379,18005,3.47348721520732,3.47315244966355
"43","458",3.48750610391558,3.487616,0.0181031011142547,18005,3.4877705349876,3.48724167284356
"44","459",3.50381216562066,3.503759,0.00116224623402,18005,3.50382914249195,3.50379518874937
"45","460",3.49256448514302,3.492467,0.0173312050224782,18005,3.4928176411683,3.49231132911773
"46","461",3.44553565437378,3.444461,0.0105541554075072,18005,3.44568981838199,3.44538149036558
"47","462",3.44256116745349,3.440986,0.0103555485908432,18005,3.44271243042208,3.4424099044849
"48","463",3.44132397517356,3.440252,0.0100824694129796,18005,3.44147124928857,3.44117670105856
"49","464",3.44140488158845,3.439921,0.0101753338556236,18005,3.44155351216962,3.44125625100728
"50","465",3.4469415060261,3.446894,0.0174478549604109,18005,3.44719636595107,3.44668664610114
"51","466",3.44230806648153,3.441295,0.0123662266009842,18005,3.44248869932097,3.44212743364209
"52","467",3.44190167547903,3.440277,0.0125438444949262,18005,3.44208490277397,3.4417184481841
"53","468",3.44442440216607,3.444334,0.0172307560319642,18005,3.44467609093809,3.44417271339404
"54","469",3.46422879233546,3.464178,0.0174917099109901,18005,3.46448429284745,3.46397329182348
"55","470",3.46442934362677,3.463251,0.00862000193871885,18005,3.46455525555418,3.46430343169936
"56","471",3.46624536128853,3.466012,0.00845047261648397,18005,3.46636879690981,3.46612192566726
"57","472",3.47029487975562,3.471322,0.0096380067037794,18005,3.47043566162657,3.47015409788468
"58","473",3.47037860294363,3.471374,0.0097545659821966,18005,3.47052108738999,3.47023611849726
"59","474",3.47452473007498,3.474097,0.013113060523935,18005,3.47471627187933,3.47433318827063
"60","475",3.47477021194113,3.47454,0.0153064846362172,18005,3.4749937929793,3.47454663090296
"61","476",3.50092721227437,3.500853,0.0170120785302566,18005,3.50117570683531,3.50067871771343
"62","477",3.46953801055262,3.469424,0.0124288244238405,18005,3.46971955775526,3.46935646334999
"63","478",3.46624017478478,3.466791,0.00934060848036925,18005,3.46637661257509,3.46610373699447
"64","479",3.48307490341572,3.483005,0.0121496256789263,18005,3.48325237237657,3.48289743445487
"65","480",3.46521216039989,3.465889,0.0159833000517183,18005,3.46544562764621,3.46497869315356
"66","481",3.45808322732574,3.458101,0.0185017729793674,18005,3.4583534817773,3.45781297287418
"67","482",3.47274304609831,3.474344,0.0087038114338163,18005,3.47287018222673,3.47261590996988
"68","483",3.47270744593169,3.474188,0.00858373303309299,18005,3.47283282808105,3.47258206378232
"69","484",3.4727605907248,3.474186,0.00849670583746271,18005,3.47288470167237,3.47263647977723
"70","485",3.47696269230769,3.476595,0.0168882715214852,18005,3.47720937842599,3.4767160061894
"71","486",3.47264253424049,3.474098,0.00861272563990911,18005,3.47276833988338,3.4725167285976
"72","487",3.47008774212719,3.469946,0.0162485427834098,18005,3.47032508376053,3.46985040049385
"73","488",3.48022250730353,3.479164,0.014818057949472,18005,3.48043895391807,3.48000606068899
"74","489",3.4803650973063,3.479305,0.0149540018755946,18005,3.48058352964682,3.48014666496579
"75","490",3.4870155746737,3.487102,0.0167516700085039,18005,3.48726026546068,3.48677088388672
"76","491",3.44088967914468,3.442511,0.0109593090733352,18005,3.44104976121176,3.44072959707761
"77","492",3.43466722849209,3.437179,0.00981156561821162,18005,3.43481054552922,3.43452391145495
"78","493",3.43465682688142,3.436903,0.00983421844185413,18005,3.43480047480719,3.43451317895565
