"","node","mean","median","sd","n","CI_upper","CI_lower"
"1","416",0.985724127298089,0.9898202,0.943028631396117,18005,0.999498898281891,0.971949356314288
"2","417",1.06778506292824,1.058376,0.438004098980006,18005,1.07418296639856,1.06138715945793
"3","418",0.89147313272702,0.9155865,0.309973984265108,18005,0.896000906860311,0.886945358593729
"4","419",0.768196211873524,0.8220736,0.399085310401499,18005,0.774025630589731,0.762366793157317
"5","420",0.881761528006087,0.8617185,0.402628196095896,18005,0.887642697472417,0.875880358539757
"6","421",0.881943187783816,0.860015,0.393410763383313,18005,0.887689718681976,0.876196656885655
"7","422",1.1465467647709,1.100264,0.425661776990546,18005,1.15276438457521,1.14032914496658
"8","423",1.14012692178284,1.143704,0.449501599948437,18005,1.14669276866171,1.13356107490396
"9","424",1.18777963520133,1.210081,0.475056448165715,18005,1.19471876044101,1.18084050996165
"10","425",1.12216759811719,1.143432,0.374662094924775,18005,1.12764026817415,1.11669492806023
"11","426",1.05171597579006,0.9987808,0.338270484607028,18005,1.0566570754565,1.04677487612361
"12","427",1.00076033332963,0.9894419,0.299915831125244,18005,1.00514118853447,0.996379478124789
"13","428",1.03263426455352,1.039111,0.376887633529224,18005,1.03813944293905,1.027129086168
"14","429",1.05203057151347,1.057526,0.230813476186508,18005,1.05540205215424,1.0486590908727
"15","430",1.0515852729353,1.059493,0.256820830177031,18005,1.05533664166555,1.04783390420504
"16","431",1.02169252187726,1.015396,0.278717788670053,18005,1.02576373836021,1.0176213053943
"17","432",0.951212139205776,0.9363421,0.298033753988634,18005,0.95556550300615,0.946858775405402
"18","433",0.926252961194113,0.9124551,0.182344492107472,18005,0.928916457863582,0.923589464524643
"19","434",0.916407924048876,0.9101838,0.165820056937487,18005,0.918830049139026,0.913985798958725
"20","435",0.945048425548459,0.9464617,0.1315373779199,18005,0.946969785299725,0.943127065797192
"21","436",0.976537498194946,0.9858578,0.109500568512873,18005,0.978136967398365,0.974938028991526
"22","437",0.981608334168287,0.9882159,0.107465369515502,18005,0.98317807532405,0.980038593012523
"23","438",0.959158010830325,0.9594724,0.0430736263831273,18005,0.959787185087729,0.958528836572921
"24","439",0.976285314890308,0.9744024,0.0487364946364044,18005,0.976997206374638,0.975573423405979
"25","440",0.978822925542905,0.9778491,0.0475152725200502,18005,0.979516978698245,0.978128872387565
"26","441",0.981181867608998,0.9796611,0.0461031967511375,18005,0.981855294645808,0.980508440572188
"27","442",0.988206799433491,0.9873266,0.044964007731981,18005,0.988863586394566,0.987550012472415
"28","443",0.994427545609553,0.9935002,0.0428540728909221,18005,0.995053512860326,0.99380157835878
"29","444",1.01135778923077,1.01083,0.037148681748817,18005,1.01190041812496,1.01081516033658
"30","445",1.01781155633991,1.01596,0.0362815755207914,18005,1.01834151945777,1.01728159322204
"31","446",1.01816553617884,1.016575,0.0365707076205511,18005,1.0186997226345,1.01763134972318
"32","447",1.03917104407665,1.040445,0.040201966540862,18005,1.03975827214562,1.03858381600767
"33","448",1.0464142557734,1.046571,0.0426534871588594,18005,1.04703729307864,1.04579121846815
"34","449",1.08812908723132,1.087531,0.0464694800972457,18005,1.08880786455024,1.08745030991241
"35","450",1.09877853382949,1.097848,0.0481552714738468,18005,1.09948193541681,1.09807513224217
"36","451",1.09944788986948,1.100042,0.0479871012695174,18005,1.10014883500323,1.09874694473573
"37","452",1.09984725870036,1.100203,0.0481465762109041,18005,1.10055053327642,1.0991439841243
"38","453",1.09266356699806,1.093104,0.0517069170231681,18005,1.09341884729025,1.09190828670586
"39","454",1.0746656803499,1.071757,0.0621774698833943,18005,1.07557390347217,1.07375745722763
"40","455",1.07935006100528,1.078589,0.0516176913998809,18005,1.08010403798336,1.07859608402719
"41","456",0.999716382882533,0.9974305,0.0699738046999996,18005,1.00073848666869,0.998694279096372
"42","457",1.04069677871702,1.041881,0.0499427901972125,18005,1.04142629049891,1.03996726693514
"43","458",1.03568401113024,1.037426,0.0737939352153771,18005,1.03676191536744,1.03460610689304
"44","459",1.00432798570397,1.004292,0.00461102846192624,18005,1.00439533876086,1.00426063264708
"45","460",1.04955102989725,1.048318,0.0703025203988648,18005,1.05057793521681,1.04852412457769
"46","461",0.989027566337129,0.9916378,0.0520116724053376,18005,0.989787298175607,0.98826783449865
"47","462",0.981911433807276,0.9852442,0.0565742702045484,18005,0.982737811278434,0.981085056336117
"48","463",0.979645727120244,0.9847483,0.0589256510800922,18005,0.980506451091581,0.978785003148907
"49","464",0.979419127236879,0.9861953,0.0592333528678533,18005,0.980284345792491,0.978553908681267
"50","465",0.984766243237989,0.9813066,0.0817808693941469,18005,0.985960812214217,0.983571674261761
"51","466",0.989661490280477,0.9911843,0.057693903171419,18005,0.990504222173115,0.98881875838784
"52","467",0.989543495601222,0.9902299,0.0586251780785151,18005,0.990399830578794,0.98868716062365
"53","468",1.00239258868648,1.003216,0.0735925589796445,18005,1.0034675514313,1.00131762594165
"54","469",1.06001006788114,1.059835,0.0750570371116874,18005,1.06110642218314,1.05891371357915
"55","470",1.011343966787,1.011689,0.0373820934423464,18005,1.01189000511386,1.01079792846015
"56","471",1.00809350022771,1.009343,0.0387386783672738,18005,1.00865935412118,1.00752764633425
"57","472",1.00769949981672,1.009535,0.0378182005542024,18005,1.00825190833785,1.00714709129559
"58","473",1.007988205604,1.009925,0.0381665186528977,18005,1.00854570198978,1.00743070921822
"59","474",1.01215633656762,1.011541,0.0526024548363899,18005,1.01292469793485,1.01138797520039
"60","475",1.00758407660094,1.006429,0.0629125416484064,18005,1.00850303687889,1.006665116323
"61","476",1.05418929701194,1.052302,0.0735147199250714,18005,1.05526312276568,1.0531154712582
"62","477",0.997982860516523,0.9981078,0.0523714896846494,18005,0.998747848187596,0.99721787284545
"63","478",1.00724767726743,1.007925,0.0449743836819916,18005,1.00790461578947,1.00659073874538
"64","479",0.984170463826715,0.984263,0.0495407555367953,18005,0.984894103108879,0.983446824544551
"65","480",1.02538477582894,1.02569,0.0656034236046467,18005,1.02634304168198,1.0244265099759
"66","481",1.02627982227715,1.028333,0.0759497097074835,18005,1.02738921580209,1.0251704287522
"67","482",0.993748228625382,0.9999237,0.0355985421760075,18005,0.994268214710116,0.993228242540648
