node,mean,median,sd,n,CI_upper,CI_lower,notes
494,3.437631161,3.4373,0.016200636,18005,3.437867803,3.437394519,
495,3.484605365,3.484375,0.017023434,18005,3.484854025,3.484356704,
496,3.452259218,3.452143,0.003788093,18005,3.452314551,3.452203886,
497,3.45237105,3.452121,0.003842414,18005,3.452427176,3.452314924,
498,3.452844979,3.452698,0.007015527,18005,3.452947454,3.452742503,
499,3.452621991,3.453124,0.009744374,18005,3.452764326,3.452479655,
500,3.452785582,3.452818,0.009937024,18005,3.452930731,3.452640432,
501,3.454614885,3.454195,0.011168599,18005,3.454778024,3.454451746,
502,3.46055132,3.460682,0.015589396,18005,3.460779034,3.460323607,
503,3.448834238,3.448024,0.010761853,18005,3.448991436,3.448677041,
504,3.448557819,3.447788,0.010881833,18005,3.448716769,3.448398868,
505,3.43846603,3.438642,0.016716627,18005,3.438710209,3.438221851,
506,3.437769545,3.438411,0.011299364,18005,3.437934594,3.437604496,
507,3.437679289,3.438519,0.011421149,18005,3.437846117,3.437512461,
508,3.442438365,3.444187,0.009882868,18005,3.442582724,3.442294007,
509,3.43925432,3.438926,0.019526666,18005,3.439539545,3.438969095,
510,3.450863082,3.450557,0.029421843,18005,3.451292845,3.450433319,
511,3.448012209,3.448196,0.033856178,18005,3.448506744,3.447517673,
512,3.45966761,3.460498,0.010907641,18005,3.459826937,3.459508282,
513,3.459997957,3.460136,0.010005478,18005,3.460144107,3.459851808,
514,3.459902244,3.460293,0.009979538,18005,3.460048015,3.459756474,
515,3.454161529,3.454486,0.017690188,18005,3.454419928,3.453903129,
516,3.443672117,3.44386,0.046580643,18005,3.444352518,3.442991716,
517,3.434912759,3.435183,0.032677111,18005,3.435390072,3.434435447,
518,3.446992703,3.446572,0.023150543,18005,3.447330862,3.446654544,
519,3.452238061,3.450886,0.015038841,18005,3.452457733,3.45201839,
520,3.452846255,3.450881,0.014733472,18005,3.453061466,3.452631044,
521,3.453435874,3.454111,0.018860811,18005,3.453711372,3.453160375,
522,3.450389085,3.450349,0.01417539,18005,3.450596144,3.450182026,
523,3.450118146,3.450726,0.014026195,18005,3.450323026,3.449913266,
524,3.449071399,3.449231,0.013227316,18005,3.449264609,3.448878188,
