node,mean,median,sd,n,CI_upper,CI_lower,notes
809,3.34722721,3.346664,0.048203937,18005,3.347931322,3.346523097,
810,3.338122715,3.337009,0.068389667,18005,3.339121679,3.33712375,
811,3.32149505,3.321518,0.126204451,18005,3.323338512,3.319651588,
812,3.261727669,3.268275,0.132365448,18005,3.263661125,3.259794214,
813,3.350435866,3.351469,0.127403313,18005,3.35229684,3.348574892,
814,3.344200783,3.337612,0.132843235,18005,3.346141218,3.342260349,
815,3.487743944,3.491139,0.102706667,18005,3.489244175,3.486243713,
816,3.491061811,3.488077,0.098436926,18005,3.492499674,3.489623948,
817,3.509527618,3.510652,0.040536382,18005,3.510119731,3.508935505,
818,3.492217981,3.496113,0.103894866,18005,3.493735568,3.490700394,
819,3.265209539,3.265012,0.169875193,18005,3.267690897,3.262728181,
820,3.263280628,3.265638,0.174866398,18005,3.265834892,3.260726363,
821,3.383503668,3.37803,0.102936481,18005,3.385007256,3.38200008,
822,3.374229926,3.37239,0.165134012,18005,3.37664203,3.371817822,
823,3.374057915,3.37679,0.110362949,18005,3.375669981,3.372445849,
824,3.373750823,3.372835,0.098807176,18005,3.375194094,3.372307551,
825,3.37410201,3.37379,0.092461803,18005,3.375452595,3.372751425,
826,3.372964493,3.374153,0.051253449,18005,3.37371315,3.372215837,
827,3.387712623,3.383501,0.088765839,18005,3.389009221,3.386416025,
828,3.385359145,3.383928,0.065303847,18005,3.386313035,3.384405255,
829,3.383456899,3.378023,0.102897591,18005,3.384959919,3.381953879,
