"","node","mean","median","sd","n","CI_upper","CI_lower"
"1","416",0.62792272370882,0.6328349,0.933920217196088,18005,0.641564448552288,0.614280998865351
"2","417",0.720121501350047,0.7200288,0.428589972434936,18005,0.726381893155442,0.713861109544652
"3","418",0.542534768482828,0.5704355,0.311327535988524,18005,0.54708231387691,0.537987223088746
"4","419",0.424575657597748,0.4840103,0.398798462379309,18005,0.430400886339568,0.418750428855929
"5","420",0.527176112671355,0.5011819,0.408013160898872,18005,0.533135940043127,0.521216285299584
"6","421",0.538054282432791,0.5066116,0.394286106373676,18005,0.543813599421239,0.532294965444343
"7","422",0.802356928266315,0.7624216,0.424487752447755,18005,0.808557399154182,0.796156457378448
"8","423",0.796904866511502,0.7992419,0.44595082794954,18005,0.803418847445408,0.790390885577596
"9","424",0.841807541664272,0.8791926,0.476108485008626,18005,0.848762033952305,0.834853049376239
"10","425",0.77231506075218,0.8030865,0.386174091819182,18005,0.777955885958951,0.766674235545408
"11","426",0.697668035300805,0.6529516,0.353781262445459,18005,0.702835700105777,0.692500370495833
"12","427",0.64987504688917,0.6484565,0.301945371125187,18005,0.654285547480982,0.645464546297357
"13","428",0.676151297224882,0.6823579,0.3748075851613,18005,0.681626092450288,0.670676501999476
"14","429",0.698875155278683,0.703131,0.225452227593794,18005,0.702168324435483,0.695581986121884
"15","430",0.705041550477645,0.7056315,0.253623909103175,18005,0.708746221945298,0.701336879009993
"16","431",0.683445422911269,0.6832999,0.280656099370049,18005,0.68754495219948,0.679345893623059
"17","432",0.626153982529408,0.6040377,0.295339476866233,18005,0.630467991161665,0.621839973897152
"18","433",0.594161312361555,0.5791479,0.195869494769074,18005,0.597022368053112,0.591300256669998
"19","434",0.58658673212552,0.579906,0.179445605758784,18005,0.58920788491037,0.583965579340671
"20","435",0.589421166559289,0.5906997,0.130915203574386,18005,0.591333438241714,0.587508894876864
"21","436",0.620931809636212,0.634184,0.113058183843605,18005,0.622583244744799,0.619280374527625
"22","437",0.625057074890308,0.6374384,0.109805159547779,18005,0.626660993239395,0.623453156541221
"23","438",0.596168997672869,0.5978756,0.0528131728242457,18005,0.59694043698697,0.595397558358768
"24","439",0.632204542182727,0.6329996,0.0449241614115364,18005,0.632860747110638,0.631548337254816
