"","regime","median_alpha","min_alpha","max_alpha","median_sigma2","min_sigma2","max_sigma2","median_theta","min_theta","max_theta","median_theta_se","min_theta_se","max_theta_se","median_half_life","min_half_life","max_half_life"
"1","Lake Malawi",0.0360330364633666,0.0331617205949322,0.0377735406444233,0.00502734601466737,0.00502247018715589,0.00504415371587912,3.89152757704268,3.71399588915862,4.46236692552482,0.704815567067206,0.591763692077919,0.89548948094362,19.2364355982322,18.3500717363194,20.9020270397512
"2","Lake Tanganyika",0.0360330364633666,0.0331617205949322,0.0377735406444233,0.000375734406533161,0.000369110426632843,0.000378583914758276,3.5411519076171,3.5235535985416,3.57141122242281,0.0489338827186684,0.0440271123333149,0.0547165972005803,19.2364355982322,18.3500717363194,20.9020270397512
"3","Lake Victoria",0.0360330364633666,0.0331617205949322,0.0377735406444233,0.0676023616010684,0.0650458151092947,0.0705018535896397,3.66739532145913,3.34738441121022,3.9632516373076,2.48976345209385,1.51003983443343,2.78192131317616,19.2364355982322,18.3500717363194,20.9020270397512
"4","Riverine",0.0360330364633666,0.0331617205949322,0.0377735406444233,0.000530797327167789,0.000515783853137965,0.000542556809819907,3.3436530454468,3.33802444139415,3.3465490299986,0.0210170034389133,0.0201656842051209,0.0228671751090844,19.2364355982322,18.3500717363194,20.9020270397512
