"","regime","median_alpha","min_alpha","max_alpha","median_sigma2","min_sigma2","max_sigma2","median_theta","min_theta","max_theta","median_theta_se","min_theta_se","max_theta_se","median_half_life","min_half_life","max_half_life"
"1","Lake Malawi",0.0362117430487172,0.0259128203726042,0.0531953278180714,0.000424198688231058,0.000323702971612536,0.000507876742358242,3.59843688304205,3.51107920695221,3.81512778420691,0.284919941109265,0.225154071165843,0.373036916160174,19.1415027889551,13.030226694542,26.7491986820841
"2","Lake Tanganyika",0.00898376282533287,1e-09,0.0270053246025473,0.000424198688231058,0.000323702971612536,0.000507876742358242,3.9394979405207,-8.68813298662961e-08,5321037.1126346,0.224670566468928,3.63033998993372e-09,1999162.58129974,77.1555520817373,25.6670560625131,693147180.559945
"3","Lake Victoria",0.0595617051956656,0.0509275067264801,0.0761296795301598,0.000424198688231058,0.000323702971612536,0.000507876742358242,3.40922522152072,3.32918607645964,3.44641679998178,0.442552432908934,0.223632362991745,0.531173747241823,11.6374636737295,9.10482199370544,13.6104676060951
"4","Riverine",0.0132773721922241,1.12622057030731e-09,0.031981936430822,0.000424198688231058,0.000323702971612536,0.000507876742358242,3.33625664291418,3.30951390602959,3.34328750568592,0.0413881847886809,0.0232919823615306,0.0629752832318342,52.2051480161025,21.6730835563771,615463079.644168
