"","regime","median_alpha","min_alpha","max_alpha","median_sigma2","min_sigma2","max_sigma2","median_theta","min_theta","max_theta","median_theta_se","min_theta_se","max_theta_se","median_half_life","min_half_life","max_half_life"
"1","non-piscivore",6.09340060992574,6.09338336152368,6.09340213151563,0.0758385028283744,0.0728670370281416,0.0780603217071491,3.44313521144718,3.44014119068079,3.44626744778253,0.00471225841278762,0.00460085850721442,0.0048501099687263,0.113753751793515,0.113753723387945,0.11375407379368
"2","piscivore",6.09340060992574,6.09338336152368,6.09340213151563,0.0758385028283744,0.0728670370281416,0.0780603217071491,3.50647874858574,3.49337291557032,3.51774359388897,0.0101153102309657,0.00938832819613537,0.0113558295755957,0.113753751793515,0.113753723387945,0.11375407379368
