"","species_name","genus","tribe","haplochromine","water_system","lm_ecology","mouthbrooder","depth","piscivore","PC1","PC2","PC3","PC4","PC5","PC6","PC7"
"471","Sargochromis mellandi","Sargochromis","Serranochromini","Haplochromine","Riverine","not_applicable","maternal_mouthbrooder","demersal","non-piscivore",-1.35047849312513,2.35296696460456,0.76537621663993,0.463432007076948,0.0238848543552819,0.0615744575114399,-2.56210788061529e-11
"472","Sargochromis mortimeri","Sargochromis","Serranochromini","Haplochromine","Riverine","not_applicable","maternal_mouthbrooder","demersal","non-piscivore",-1.86170884428183,2.23090932448808,-0.30889693408817,0.798865241863685,0.0638066127497368,0.0361300510286354,-2.54852722713457e-11
"470","Sargochromis codringtonii","Sargochromis","Serranochromini","Haplochromine","Riverine","not_applicable","maternal_mouthbrooder","demersal","non-piscivore",-1.84856385448753,2.50566363424807,-0.881657428520783,0.582148463908815,0.0636713966847438,0.0188680811790921,-2.54960630756283e-11
"523","Thoracochromis albolabris","Thoracochromis","Serranochromini","Haplochromine","Riverine","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore",-0.97555012932472,4.6365288967412,1.63379516030746,0.641906435276722,0.0828034647446478,0.0520418705734343,-2.55978810790532e-11
"366","Orthochromis machadoi","Orthochromis","Basal Haplochromini","Haplochromine","Riverine","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore",-0.47848123399497,4.36965597404014,2.59867090310887,0.0459108645526857,0.0139622090155965,0.0394747437693467,-2.5572638146769e-11
"438","Pseudocrenilabrus philander","Pseudocrenilabrus","Basal Haplochromini","Haplochromine","Riverine","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore",0.634855727289498,1.64371376926492,1.3794927386801,-0.0686258909348378,-0.00832992911519104,0.0684389557526148,-2.57061517209612e-11
"437","Pseudocrenilabrus multicolor","Pseudocrenilabrus","Basal Haplochromini","Haplochromine","Riverine","not_applicable","maternal_mouthbrooder","demersal","non-piscivore",1.17494847511041,1.02299543985795,1.16136016747268,-0.383614051978648,-0.00635263554747311,0.061963856205907,-2.56573962737212e-11
"76","Ctenochromis pectoralis","Ctenochromis","Basal Haplochromini","Haplochromine","Riverine","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore",0.178337282954802,2.91588508479147,2.09990296820269,0.140551148009422,0.0166741505609823,0.0667551986328479,-2.5616218918265e-11
"118","Eretmodus marksmithi","Eretmodus","Eretmodini","Other","Lake Tanganyika","not_applicable","biparental_mouthbrooder","benthopelagic","non-piscivore",-0.886789356336517,2.38375285491086,1.17392841828527,0.0870373923837456,0.0430830927351458,0.0639950843533666,-2.56097566303358e-11
"492","Spathodus marlieri","Spathodus","Eretmodini","Other","Lake Tanganyika","not_applicable","maternal_mouthbrooder","demersal","non-piscivore",-1.11254678924166,2.2089340018481,1.0721664291195,0.0391122398475422,0.0541720076115048,0.060038890565733,-2.56034998075229e-11
"491","Spathodus erythrodon","Spathodus","Eretmodini","Other","Lake Tanganyika","not_applicable","biparental_mouthbrooder","demersal","non-piscivore",-0.70963957012624,2.55344472764005,1.4565949588049,0.0972430231331174,0.0446805445187843,0.069046147028517,-2.55912932533643e-11
"506","Tanganicodus irsacae","Tanganicodus","Eretmodini","Other","Lake Tanganyika","not_applicable","biparental_mouthbrooder","benthopelagic","non-piscivore",-0.635843873430199,3.03677972504907,1.67292764498189,-3.2279908109033e-05,0.045673736848226,0.0624896179160388,-2.56550224186988e-11
"117","Eretmodus cyanostictus","Eretmodus","Eretmodini","Other","Lake Tanganyika","not_applicable","biparental_mouthbrooder","benthopelagic","non-piscivore",-0.705119658805104,1.52095973642988,0.0243911755540986,0.242268921436574,0.0413750392092512,0.0416516151091914,-2.55926114622983e-11
"46","Chalinochromis brichardi","Chalinochromis","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","benthopelagic","non-piscivore",-3.75596192736889,1.82110051405739,-1.29219300788946,0.280170923122865,0.0482376304785488,-0.0381451326541529,-2.52923372154607e-11
"47","Chalinochromis cyanophleps","Chalinochromis","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","benthopelagic","non-piscivore",-4.51909051434955,3.24211665393081,-0.676594919815083,0.403752119678092,0.0697419963658098,0.0105436001701808,-2.53994902118773e-11
"193","Julidochromis dickfeldi","Julidochromis","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","benthopelagic","non-piscivore",-3.48519422147846,2.08190859540328,0.0374907516297669,0.0606455327638517,0.0396989359462706,0.0185860055818877,-2.54319857034906e-11
"196","Julidochromis ornatus","Julidochromis","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","benthopelagic","non-piscivore",-3.98848262592328,1.72661876645161,0.32371195783451,-0.115922320876702,0.0254455599013151,0.0145439384885895,-2.54349116048887e-11
