"","precaudal_count","caudal_count","total_count","ln_pc_ln_c","ln_length_ln_width","ln_ant_length_ln_width","ln_post_length_ln_width"
"Grammatotria lemairii",2.65438907883458,3.1303448925155,3.61379985930825,-0.475955813680916,1.35021239211111,0.180768768222222,0.990657283444444
"Limnochromis auritus",2.66665447821004,2.91199864640427,3.49035322973313,-0.245344168194236,1.0802866304,-0.0930079006,0.7392980903
"Baileychromis centropomoides",2.70038432649255,2.92010088894824,3.50977554508856,-0.219716562455688,1.502436672,0.314366614888889,1.14339701422222
"Reganochromis calliurus",2.74677331378475,2.97521495579897,3.56081890490144,-0.228441642014218,1.498651695,0.2173284922,1.1789638867
"Gnathochromis permaxillaris",2.69425162680482,2.8900626386392,3.49035322973313,-0.195811011834378,1.1037372259,0.0563335653,0.698430051
"Limnochromis abeelei",2.69425162680482,2.89577848002319,3.4934303955998,-0.201526853218373,1.1403373916,-0.0203951439,0.785205996
"Limnochromis staneri",2.65975519106134,2.86144593017854,3.45938616313681,-0.201690739117198,0.9518538582,-0.1569923114,0.5765839543
"Greenwoodochromis bellcrossi",2.63164653239989,2.85573008879455,3.44340770152868,-0.22408355639466,1.0474434154,-0.1223626342,0.679013222
"Greenwoodochromis christyi",2.62364226163253,2.86750839236019,3.44658257136014,-0.243866130727652,0.962733553,-0.1679804417,0.5847245098
"Tangachromis dhanisi",2.56494935746154,2.83321334405622,3.40119738166216,-0.268263986594679,1.28696467866667,0.116683787666667,0.921880997666667
"Triglachromis otostigma",2.65975519106134,2.8900626386392,3.47496740039975,-0.230307447577854,1.1718536559,-0.1079390319,0.8592747308
"Cyphotilapia frontosa",2.75968101801227,2.79077610878471,3.4688130686664,-0.0310950907724448,0.8021735602,-0.3099027648,0.4446672842
"Trematochromis benthicola",2.63905732961526,2.84273974636287,3.43927865420424,-0.203682416747616,0.9599033755,-0.1456349475,0.57350206
"Orthochromis malagaraziensis",2.55827913182208,2.87608215443618,3.42305726354415,-0.317803022614102,1.20734751616667,-0.0389133935833333,0.8816637955
"Orthochromis mazimeroensis",2.45010209899215,2.86179255097619,3.37056700834048,-0.411690451984042,1.1754627333,-0.0350498952,0.8291120439
"Orthochromis luichensis",2.57977095189228,2.91138040789034,3.45282819857221,-0.33160945599806,1.2722815316,-0.0330293922,0.9703552842
"Astatotilapia stappersii",2.52492800362477,2.802901033148,3.36709753529721,-0.27797302952323,0.9185770832,-0.2675227078,0.5655025118
"Haplochromis labiatus",2.56037548845162,2.85916626509335,3.41428356437683,-0.298790776641733,0.897966356647059,-0.274154670117647,0.543531815705882
"Haplochromis mentatus",2.62516208483644,2.88604638799418,3.45773766324309,-0.260884303157748,1.0944656751875,-0.0987998935625,0.7427980706875
"Haplochromis welcommei",2.56494935746154,2.89037175789616,3.43398720448515,-0.325422400434628,1.11352743,-0.1144922465,0.7722973005
"Haplochromis estor",2.484906649788,2.94443897916644,3.43398720448515,-0.45953232937844,1.208893353,0.047541357,0.842626062
"Haplochromis fusiformis",2.56494935746154,2.94443897916644,3.46573590279973,-0.379489621704904,1.188550245,-0.060415945,0.867620803
"Haplochromis dolichorhynchus",2.53826845490369,2.90204323011515,3.43034389083815,-0.36377477521146,1.105835532625,-0.033229614,0.7365293375
"Haplochromis sulphureus",2.55767274767303,2.89528695982983,3.43398720448515,-0.337614212156792,1.09657014455556,-0.0800942398,0.7258778683
"Haplochromis orthostoma",2.484906649788,2.86179255097619,3.38424660582431,-0.37688590118819,0.8983621945,-0.2108646785,0.5079413795
"Haplochromis beadlei",2.56494935746154,2.83321334405622,3.40119738166216,-0.268263986594679,0.904004694,-0.35546808,0.575527706
"Haplochromis aelocephalus",2.58965201484611,2.81300513678407,3.40101209352004,-0.223353121937961,0.884234715166667,-0.378195788666667,0.553074240833333
"Mbipia mbipi",2.56494935746154,2.89037175789616,3.43398720448515,-0.325422400434628,0.962173635,-0.362773452,0.663283712
"Haplochromis lividus",2.56410153810156,2.84137883174764,3.40588164206544,-0.277277293646074,0.947050881,-0.249478180142857,0.596521698285714
"Haplochromis obliquidens",2.56494935746154,2.82108841969293,3.39441707132702,-0.256139062231393,0.9408936422,-0.3171356309,0.6214828661
"Haplochromis maxillaris",2.57318357658973,2.8264772749655,3.40119738166216,-0.253293698375773,0.886904348555556,-0.389054930888889,0.561562597888889
"Haplochromis melanopterus",2.56494935746154,2.89037175789616,3.43398720448515,-0.325422400434628,0.947322094,-0.350150292,0.628405188
"Haplochromis cryptodon",2.51921066736237,2.85770980713048,3.39619548444382,-0.338499139768107,0.960705016714286,-0.231072193857143,0.601274151285714
"Haplochromis microdon",2.56494935746154,2.83321334405622,3.40119738166216,-0.268263986594679,1.02777956,-0.190946998,0.68383018
"Haplochromis nubilus",2.51158755234585,2.85226614866953,3.38989686443693,-0.340678596323686,0.890698255666667,-0.329996114333333,0.55080107
"Haplochromis pappenheimi",2.60817900788454,2.8991253620604,3.45763588827978,-0.290946354175864,1.18970925658333,-0.0478828088333333,0.857929980333333
"Haplochromis loati",2.53826845490369,2.79723397238849,3.37002181194815,-0.258965517484803,0.91579213975,-0.211048163583333,0.536203222833333
"Haplochromis astatodon",2.57730068615382,2.79279692951193,3.38424660582431,-0.215496243358102,0.921258674166667,-0.325830664666667,0.604020706833333
"Haplochromis paucidens",2.56494935746154,2.81300513678407,3.38989686443693,-0.248055779322534,0.954151346666667,-0.328728222333333,0.630958188
"Haplochromis limax",2.54493868054315,2.802901033148,3.37577121790539,-0.257962352604846,0.92210702875,-0.32994975,0.59488308375
"Astatotilapia burtoni",2.51921066736237,2.76280980503139,3.34223060154985,-0.243599137669021,0.855255887571429,-0.37084175,0.522733709571429
"Astatotilapia gigliolii",2.56494935746154,2.77258872223978,3.36729582998647,-0.207639364778244,1.0427497775,-0.188838615,0.7082012755
"Astatotilapia bloyeti",2.484906649788,2.83321334405622,3.36729582998647,-0.348306694268216,0.963846373,-0.217954461,0.620983971
"Rhamphochromis woodi",2.79605579110213,2.99523164751037,3.59447852813136,-0.199175856408239,1.3289282726,0.2183317988,0.9324497894
"Rhamphochromis esox",2.86462455257067,3.02775457221483,3.64298141905215,-0.163130019644158,1.50993021755556,0.355299937222222,1.13410654811111
"Rhamphochromis ferox",2.83321334405622,2.99573227355399,3.61091791264422,-0.162518929497775,1.4420849465,0.3189677055,1.047962554
"Rhamphochromis longiceps",2.84371390865268,2.95642930019555,3.59541207529563,-0.112715391542876,1.4235949746875,0.21760692575,1.073843517
"Diplotaxodon limnothrissa",2.83840956349621,2.9294411981943,3.57832678784593,-0.0910316346980875,1.2759572825,-0.0835129031,0.9795065856
"Diplotaxodon ecclesi",2.70805020110221,2.94443897916644,3.52636052461616,-0.23638877806423,1.09711383,-0.092560882,0.73597462
"Diplotaxodon macrops",2.70805020110221,2.83321334405622,3.46573590279973,-0.125163142954006,1.034534274,-0.133605307,0.662730921
"Diplotaxodon argenteus",2.80448021567339,2.915815156141,3.55496375094515,-0.111334940467605,1.19326328988235,-0.0536260925294118,0.853346517529412
"Diplotaxodon greenwoodi",2.56494935746154,2.99573227355399,3.49650756146648,-0.430782916092454,0.960904763,-0.199419679,0.584927564
"Diplotaxodon aeneus",2.69080198323047,2.88959895975375,3.48858497292052,-0.198796976523274,0.99791246225,-0.141083204,0.61549865025
"Pallidochromis tokolosh",2.64970362475196,2.97863450875814,3.52138503075788,-0.328930884006185,1.21641874883333,0.140489015166667,0.812610917
"Aulonocara trematocephalum",2.63905732961526,2.94443897916644,3.49650756146648,-0.305381649551182,1.132906635,-0.073371849,0.789958913
"Mylochromis obtusus",2.63905732961526,2.89037175789616,3.46573590279973,-0.251314428280906,0.87272862,-0.423881703,0.556079573
"Placidochromis milomo",2.60941414075377,2.80896349532964,3.40775534622675,-0.199549354575872,0.8661248434,-0.1487936014,0.435560774
"Placidochromis hennydaviesae",2.65226431327366,2.89037175789616,3.4726800165154,-0.238107444622507,0.9280412,-0.3128003585,0.59144566825
"Otopharynx pachycheilus",2.56494935746154,2.83321334405622,3.40119738166216,-0.268263986594679,0.844781286,-0.253791094,0.457441365
"Alticorpus macrocleithrum",2.484906649788,2.92641657207635,3.42305726354415,-0.441509922288348,0.888743339,-0.158075238,0.489637199333333
"Sciaenochromis ahli",2.58965201484611,2.89037175789616,3.44457010392334,-0.300719743050054,1.12169793733333,-0.133914703666667,0.793878732333333
"Stigmatochromis modestus",2.64672235717611,2.82119631347004,3.43154741886806,-0.174473956293935,1.0411959014,-0.165214420866667,0.6897340986
"Naevochromis chrysogaster",2.63905732961526,2.83321334405622,3.43398720448515,-0.194156014440958,0.9875966655,-0.236931442,0.6396169205
"Protomelas fenestratus",2.56494935746154,2.89037175789616,3.43398720448515,-0.325422400434628,0.979048609,-0.171598702,0.598784816
"Protomelas taeniolatus",2.63905732961526,2.83321334405622,3.43398720448515,-0.194156014440958,0.920892799,-0.185151981,0.522883577
"Trematocranus placodon",2.56494935746154,2.87608215443618,3.4257897487794,-0.311132796974641,0.835044346,-0.356358229,0.5048886225
"Placidochromis subocularis",2.63905732961526,2.89037175789616,3.46573590279973,-0.251314428280906,0.994363925,-0.242595935,0.661907536
"Cyrtocara moorii",2.6020033435384,2.9174053685313,3.46573590279973,-0.315402024992905,0.821153819,-0.4729373385,0.5255568875
"Placidochromis electra",2.63905732961526,2.89037175789616,3.46573590279973,-0.251314428280906,0.953588236,-0.26069049,0.659415112
"Placidochromis phenochilus",2.63905732961526,2.94443897916644,3.49650756146648,-0.305381649551182,0.89386437,-0.335094396,0.562987412
"Protomelas annectens",2.68505257727323,2.90839416498626,3.49650756146648,-0.22334158771303,0.909790303333333,-0.338491835,0.595839601333333
"Mylochromis sphaerodon",2.58965201484611,2.90736376746303,3.45448028197612,-0.317711752616922,0.916790870333333,-0.234863446666667,0.566446582
"Placidochromis johnstoni",2.56494935746154,2.89037175789616,3.43398720448515,-0.325422400434628,1.054352515,-0.136787534,0.702885603
"Chilotilapia rhoadesii",2.59459254632303,2.86750839236019,3.43398720448515,-0.27291584603716,0.806461099,-0.463119999,0.4799877092
"Cheilochromis euchilus",2.56494935746154,2.85226614866953,3.41212732260315,-0.287316791207996,0.910585038666667,-0.169343049666667,0.497977211
"Protomelas kirkii",2.48142231512995,2.86179255097619,3.38424660582431,-0.380370235846237,0.8885383805,-0.2856653355,0.530579075
"Champsochromis caeruleus",2.71342841119701,2.98697479697122,3.55286437842443,-0.273546385774215,1.373455102,0.126509731416667,1.039698361
"Champsochromis spilorhynchus",2.70741386533801,2.94404270389748,3.52636052461616,-0.236628838559467,1.218669398,-0.0503341728571429,0.896953342428571
"Lethrinops albus",2.56494935746154,2.86179255097619,3.41759229307365,-0.296843193514654,0.9500066265,-0.140783928,0.671800435
"Lethrinops furcifer",2.56494935746154,2.94443897916644,3.46573590279973,-0.379489621704904,0.877289684,-0.272899948,0.514414924
"Lethrinops auritus",2.56494935746154,2.89037175789616,3.43398720448515,-0.325422400434628,0.820758804,-0.3042448985,0.5059743825
"Corematodus taeniatus",2.56494935746154,2.83321334405622,3.40119738166216,-0.268263986594679,0.863772194,-0.229436003,0.470643214
"Mylochromis labidodon",2.61435467223068,2.90839416498626,3.46573590279973,-0.294039492755572,1.11132318666667,-0.168227027,0.797163338
"Tyrannochromis macrostoma",2.58347635049997,2.93092217384887,3.46573590279973,-0.347445823348904,1.13575892675,0.08376243,0.7178703765
"Tyrannochromis nigriventer",2.6020033435384,2.9174053685313,3.46573590279973,-0.315402024992905,1.1519287165,0.040064942,0.7574678145
"Mylochromis mola",2.52492800362477,2.9174053685313,3.43398720448515,-0.392477364906534,0.9411374755,-0.205700227,0.576744241
"Ctenopharynx pictus",2.56494935746154,2.89037175789616,3.43398720448515,-0.325422400434628,1.024350268,0.013293647,0.591166407
"Ctenopharynx intermedius",2.63905732961526,2.89037175789616,3.46573590279973,-0.251314428280906,0.864337863,-0.345190578,0.524085249
"Ctenopharynx nitidus",2.63905732961526,2.89375095922556,3.4676591314664,-0.254693629610298,1.01123822775,-0.2147257374375,0.6782390424375
"Protomelas spilopterus",2.56494935746154,2.83321334405622,3.40119738166216,-0.268263986594679,0.915142646666667,-0.306172911333333,0.569481695333333
"Hemitaeniochromis urotaenia",2.56225819455358,2.88176467126622,3.42930294408186,-0.319506476712642,1.01961542614286,-0.0797601437142857,0.614887064428571
"Otopharynx lithobates",2.60941414075377,2.86750839236019,3.44033694414806,-0.258094251606416,1.0878547208,-0.0008575726,0.693689969
"Mylochromis anaphyrmus",2.56494935746154,2.9174053685313,3.44986155364244,-0.352456011069766,0.9854307895,-0.110963019,0.5929790805
"Mchenga eucinostomus",2.63905732961526,2.94443897916644,3.49650756146648,-0.305381649551182,1.197935771,-0.094543521,0.885278273
"Mchenga inornata",2.63905732961526,2.94443897916644,3.49650756146648,-0.305381649551182,1.238260614,0.0104163065,0.8970928455
"Nyassachromis nigritaeniatus",2.70805020110221,2.9174053685313,3.51143404304132,-0.209355167429092,0.9710443955,-0.3465647075,0.673031685
"Nyassachromis purpurans",2.70805020110221,2.89037175789616,3.49650756146648,-0.182321556793954,1.036958541,-0.213911219,0.719465927
"Nyassachromis leuciscus",2.68345766877053,2.90839416498626,3.49620132962746,-0.224936496215722,1.02356060416667,-0.304114946833333,0.726643881833333
"Nyassachromis breviceps",2.67355376535873,2.94443897916644,3.51143404304132,-0.270885213807706,1.109223521,-0.19678404,0.800759967
"Nyassachromis microcephalus",2.70805020110221,2.89037175789616,3.49650756146648,-0.182321556793954,1.0200219575,-0.253088091,0.703965571
"Hemitilapia oxyrhynchus",2.63905732961526,2.83992486978915,3.43782565121092,-0.200867540173891,0.9191192334,-0.3031834818,0.5739038794
"Lethrinops gossei",2.63905732961526,2.89037175789616,3.46573590279973,-0.251314428280906,0.765586209,-0.3575407265,0.4136371075
"Lethrinops lethrinus",2.52492800362477,2.86179255097619,3.40119738166216,-0.336864547351422,0.9111722755,-0.1481111675,0.5139495715
"Mylochromis balteatus",2.56494935746154,2.89037175789616,3.43398720448515,-0.325422400434628,0.894676695,-0.216097804,0.529066394
"Lichnochromis acuticeps",2.56494935746154,2.94443897916644,3.46573590279973,-0.379489621704904,1.060282778,-0.05785281,0.677162461
"Nimbochromis polystigma",2.60729677012081,2.85770980713048,3.43398720448515,-0.250413037009674,0.976579160714286,-0.181052437428571,0.609077904857143
"Nimbochromis livingstonii",2.6020033435384,2.86893735270618,3.43795579177447,-0.266934009167787,0.975764960166667,-0.2056459175,0.61373263
"Nimbochromis venustus",2.60854228225784,2.86011142115737,3.43585477497424,-0.251569138899525,0.929286133647059,-0.248544701823529,0.571166193352941
"Nimbochromis linni",2.62053033657683,2.89037175789616,3.45779872822108,-0.269841421319336,1.101637637,0.00065851675,0.718555267
"Dimidiochromis kiwinge",2.656305547487,2.9174053685313,3.48881464679979,-0.261099821044306,1.092872439,-0.13826179475,0.75400003325
"Dimidiochromis strigatus",2.56494935746154,2.89037175789616,3.43398720448515,-0.325422400434628,0.92284261,-0.280552677,0.576980903
"Dimidiochromis compressiceps",2.57730068615382,2.93993337739392,3.46830020768862,-0.362632691240094,1.1208829094,0.0501794252,0.7079818639
"Mylochromis guentheri",2.64595661676395,2.84429840602656,3.44351181397952,-0.198341789262603,0.978379725166667,-0.218079351166667,0.641256404833333
"Otopharynx argyrosoma",2.70805020110221,2.94443897916644,3.52636052461616,-0.23638877806423,0.983436627,-0.379154136,0.698402484
"Copadichromis virginalis",2.66205495344424,2.83321334405622,3.44457010392334,-0.171158390611974,1.040139897,-0.270619967666667,0.663308804333333
"Taeniolethrinops praeorbitalis",2.52492800362477,2.95726230276333,3.45755446830912,-0.432334299138559,0.93337597775,-0.180822005,0.566746312
"Taeniolethrinops furcicauda",2.58347635049997,2.9174053685313,3.45779872822108,-0.333929018031335,0.8848862945,-0.3135840765,0.5545020415
"Buccochromis heterotaenia",2.65285590391265,2.85563954955578,3.45290615152085,-0.202783645643136,0.969573528,-0.210115948266667,0.617460450066667
"Buccochromis nototaenia",2.70805020110221,2.89037175789616,3.49650756146648,-0.182321556793954,0.947027749,-0.292998564,0.653208031
"Buccochromis oculatus",2.67355376535873,2.9174053685313,3.49627788758721,-0.243851603172568,0.9899609805,-0.13181215475,0.6167135175
"Buccochromis spectabilis",2.72095790532972,2.93362553491239,3.52618743936088,-0.212667629582661,1.1594481392,-0.0484380724,0.8347994232
"Buccochromis atritaeniatus",2.63905732961526,2.90839416498626,3.47599312235531,-0.269336835370998,0.998144642333333,-0.150027296,0.635897808333333
"Mylochromis plagiotaenia",2.56428994240378,2.87766988815395,3.42670057719115,-0.313379945750174,1.01141159411111,-0.164018394111111,0.662683545222222
"Protomelas triaenodon",2.67125400297584,2.8670962333509,3.46733528448391,-0.19584223037506,0.985329005785714,-0.213641828857143,0.640752744785714
"Protomelas insignis",2.70805020110221,2.83321334405622,3.46573590279973,-0.125163142954006,0.958441918,-0.267662032,0.61886073
"Mylochromis melanonotus",2.56494935746154,2.94443897916644,3.46573590279973,-0.379489621704904,0.92537035,-0.278134176,0.577150104
"Mylochromis semipalatus",2.63905732961526,2.94443897916644,3.49650756146648,-0.305381649551182,0.8933226195,-0.2907720655,0.536207713
