"","all_species_data_tree_edges","pic.total.all","pic.precaudal.all","pic.caudal.all","pic.ln.pc.ln.c.all","pic.aspect.ratio.all","pic.ant.aspect.ratio.all","pic.post.aspect.ratio.all"
"430",430,0.005679993272143,0.00392235189080674,0.00678135516973024,-0.00285900327892285,0.0168526469934719,-0.000546427744734581,0.0253755956098514
"431",431,-0.0108571644602773,-0.0100226976903275,-0.0125881613319709,0.00256546364164354,0.00421862399447048,-0.00587401041254785,0.00807891900393759
"432",432,0.00306706881219342,0.00939922772842152,-0.00257521764838225,0.0119744453768036,-0.0517793260302425,-0.0450695876396117,-0.0535459478531446
"433",433,0.0174944192509621,0.0247433226051042,0.0107624579687212,0.0139808646363827,0.0193323606336418,0.0196070843687479,0.0206676028857292
"434",434,0.00984474655210913,-0.00120108762927625,0.0192580655934408,-0.0204591532227167,0.0302821365299494,0.0195541928517626,0.0335450500451696
"435",435,0.0186314201156389,-0.00190389603839586,0.036815847489019,-0.0387197435274157,0.0792549162228283,0.0735103319603437,0.0772782975764868
"436",436,0.0181615580106402,0.000816641998036385,0.0332740440142718,-0.0324574020162362,0.0690157732477695,0.0430896009701725,0.081279638386347
"437",437,0.00205137890675853,-0.0162759148683449,0.0183637101523973,-0.0346396250207422,-0.0323551133889293,-0.0220319962412789,-0.0359985449095573
"438",438,-0.00737702692728736,0.00333235441524525,-0.0153935112122875,0.0187258656275326,-0.0199033860173113,-0.0163365009097857,-0.0188910292702189
"439",439,-0.0338760664164708,-0.044811467694384,-0.0243945121446171,-0.0204169555497666,-0.0196238709602129,-0.0178441398690435,-0.0188044771552516
"440",440,0.0019058972519368,-0.00575441843946686,0.00737862360279988,-0.0131330420422666,0.00247858378109007,-0.00592550890677799,0.00358053819368326
"441",441,-0.00592772135464738,0.0085937468294135,-0.0172875791929715,0.0258813260223854,-0.0599988205272196,-0.0354369768310114,-0.0689683686885733
"442",442,0.0098863376510892,0.0282891404159654,-0.00480178364846461,0.0330909240644288,-0.00912356863756515,-0.0294179513469265,0.000786651399675631
"443",443,0.0114399402829858,0.0207757813040043,0.00357323101057141,0.0172025502934332,-0.0404047142124096,-0.0466693858907565,-0.0304845813055784
"444",444,-0.0111495742901256,-0.0446062115049109,0.0170076817194871,-0.0616138932243989,0.0418677424940553,0.0287380499902775,0.0365865613093452
"445",445,0.00133568668032884,0.00717408476814315,-0.00338895132912062,0.0105630360972638,0.0158786088991908,0.0147585262962344,0.0170227016038702
"446",446,0.0310353975647226,0.0415719307181776,0.0224565562270393,0.0191153744911384,0.0396720442094182,0.0432361010448976,0.0383577926657304
"447",447,-0.0884398410538353,-0.106815208144005,-0.073258260723372,-0.0335569474206343,-0.164671145556537,-0.178497727097261,-0.145667771007949
"448",448,0.0258964843225345,-0.00764981366860316,0.0516884226589564,-0.0593382363275594,-0.0359315791821491,-0.00388720076309564,-0.0597208742709731
"449",449,0.0172511751151202,0.0524578173693298,-0.00797326170203764,0.0604310790713647,0.0817314622191515,-0.00853412544975048,0.114196160361991
"450",450,-0.0463339421377819,-0.0194002451125852,-0.0681456118905854,0.0487453667779994,0.112517077211683,0.16285933136263,0.101282614210379
"451",451,0.016613281562789,-0.00063690642479566,0.0301064092075691,-0.0307433156323616,-0.11058885452735,-0.0579871348693085,-0.12220090608599
"452",452,0.013540912675565,-0.0199282210144784,0.039117062216541,-0.0590452832310206,0.0315567105653016,-0.0240575377316935,0.0547787768885174
"453",453,0.0203673317452377,0.00970267604493964,0.0257928609015905,-0.0160901848566413,0.219998336771402,0.253982921310908,0.202596617450067
"454",454,0.125363744062998,0.221749523993491,0.0577528613958271,0.163996662597657,0.191440555282539,0.165230626205404,0.209550171841311
"455",455,0.00465828388826438,0.0400894122748153,-0.0242378537528929,0.0643272660277147,0.0104804743323334,-0.0809062624209676,-0.0211295700972457
"456",456,0.000264606464370456,0.0242857884184917,-0.0192258694217362,0.0435116578402124,-0.166146882947105,-0.029748876751447,-0.225354463546312
"457",457,-0.031071921462863,-0.106037545881299,0.0286484213300111,-0.13468596721131,0.03482801776444,0.174601556854422,-0.0154975756651794
"458",458,-0.0517169145720697,-0.0886713903907276,-0.0222810883712662,-0.0663903020194703,0.0434093625472281,0.173268719034409,-0.00907781534323361
"459",459,-0.0216714148905532,0.0388339191853067,-0.0669774724891145,0.105811391674425,-0.310296015312183,-0.50153364661375,-0.209083432885151
"460",460,0.0754891382082252,0.0680346454796524,0.0803244318224237,-0.0122897863427654,0.244979120226178,0.0680251916582741,0.301271573601355
"461",461,-0.119079515087981,-0.242982447380234,-0.0246889202955116,-0.218293527084728,-0.0228001765539482,0.300158634389789,-0.161817878242083
"462",462,0.0312611493885513,0.121265042587562,-0.032025290459025,0.153290333046591,0.168620899226805,0.147908400807112,0.162430723613465
"463",463,0.0017390626822216,-0.0239534133345359,0.0198266520080338,-0.0437800653425621,0.241454354372885,0.1476439795946,0.270097392884669
"464",464,0.126316685060998,0.0769356510814263,0.165227700124267,-0.0882920490428497,0.290448609776226,0.13426996068253,0.363900128925159
"465",465,0.0707898069115991,0.112465981208115,0.0410261063326975,0.0714398748754225,0.353095180087522,0.104561489431292,0.452557036180512
"466",466,0,0,0,0,0.0530346201467327,0.138041568621335,0.0155383460447332
"467",467,-0.0379912663395771,-0.0693749329192728,-0.0151732941930124,-0.0542016387262675,-0.182447631002861,-0.290928612659289,-0.153719436094379
"468",468,-0.0389970067996921,0.00373404013958583,-0.0673658975070115,0.0710999376466018,-0.144957984856412,-0.314152056682852,-0.0630008202969956
