"","species_name","genus","tribe","haplochromine","water_system","lm_ecology","mouthbrooder","depth","piscivore","PC1","PC2","PC3","PC4","PC5"
"28","Orthochromis malagaraziensis","Orthochromis","Basal Haplochromini","Haplochromine","Riverine","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore",-0.987511777928629,3.64552373101939,-0.961221877866854,-0.0689022552416576,2.562790914721e-11
"29","Orthochromis luichensis","Orthochromis","Basal Haplochromini","Haplochromine","Riverine","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore",-1.51757925135109,4.11282070194954,-0.969777384534323,-0.0635473342618195,2.55934606143775e-11
"30","Orthochromis kalungwishiensis","Orthochromis","Basal Haplochromini","Haplochromine","Riverine","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore",-1.81755912559153,4.59544880526007,-0.71209304025635,-0.0562577692996109,2.55775600983751e-11
"31","Serranochromis robustus","Serranochromis","Serranochromini","Haplochromine","Riverine","not_applicable","maternal_mouthbrooder","demersal","piscivore",-3.72426933639109,3.28028094026825,1.02983509231395,-0.0279740241011478,2.55355748705434e-11
"32","Serranochromis thumbergi","Serranochromis","Serranochromini","Haplochromine","Riverine","not_applicable","maternal_mouthbrooder","demersal","piscivore",-4.7728526420365,2.4596689788871,1.8745128693038,0.0321121911105739,2.52930501008979e-11
"33","Serranochromis angusticeps","Serranochromis","Serranochromini","Haplochromine","Riverine","not_applicable","maternal_mouthbrooder","demersal","piscivore",-2.92918561158495,3.13777707801026,0.867527304252937,-0.0352802346687596,2.55439983977228e-11
"34","Serranochromis macrocephalus","Serranochromis","Serranochromini","Haplochromine","Riverine","not_applicable","maternal_mouthbrooder","demersal","piscivore",-2.9684875595993,3.23314394132042,0.450562537322787,-0.0423288002586362,2.55748684191675e-11
"35","Serranochromis longimanus","Serranochromis","Serranochromini","Haplochromine","Riverine","not_applicable","maternal_mouthbrooder","demersal","piscivore",-2.70628303110181,1.94728213441135,1.11820291738626,-0.00494037010684764,2.54840727870459e-11
"36","Serranochromis stappersi","Serranochromis","Serranochromini","Haplochromine","Riverine","not_applicable","maternal_mouthbrooder","benthopelagic","piscivore",-3.45130424121492,1.22722901211451,1.79631990551159,0.0516650500336138,2.53025011465712e-11
"37","Serranochromis meridianus","Serranochromis","Serranochromini","Haplochromine","Riverine","not_applicable","maternal_mouthbrooder","demersal","piscivore",-2.37815117999371,3.0100685327613,0.775255824401521,-0.0422441903687445,2.55785562192343e-11
"38","Pharyngochromis acuticeps","Pharyngochromis","Serranochromini","Haplochromine","Riverine","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore",-2.33946662984014,2.12185405320686,0.373551594088544,-0.0350797569493588,2.55450599977834e-11
"39","Sargochromis carlottae","Sargochromis","Serranochromini","Haplochromine","Riverine","not_applicable","maternal_mouthbrooder","demersal","non-piscivore",-1.53403490576918,1.8773571438122,0.59864272422613,-0.0301521808920002,2.55142674343324e-11
"40","Sargochromis mellandi","Sargochromis","Serranochromini","Haplochromine","Riverine","not_applicable","maternal_mouthbrooder","demersal","non-piscivore",-1.32067364113166,2.43050519189919,-0.147691257231123,-0.0569274295520754,2.56179677679098e-11
